Month,Region,Units,Revenue
Jan,Zurich,139,6517
Jan,Geneva,132,6211
Jan,Basel,173,8144
Jan,Bern,151,7086
Jan,Zurich,156,7352
Jan,Geneva,150,7041
Jan,Basel,132,6218
Jan,Bern,94,4411
Jan,Zurich,83,3909
Jan,Geneva,102,4776
Jan,Basel,108,5074
Jan,Bern,182,8545
Jan,Zurich,152,7143
Jan,Geneva,148,6953
Jan,Basel,116,5439
Jan,Bern,105,4922
Jan,Zurich,89,4180
Jan,Geneva,172,8068
Jan,Basel,166,7825
Jan,Bern,165,7776
Jan,Zurich,17,810
Feb,Zurich,128,6036
Feb,Geneva,110,5181
Feb,Basel,170,7997
Feb,Bern,85,3997
Feb,Zurich,162,7618
Feb,Geneva,183,8608
Feb,Basel,166,7814
Feb,Bern,92,4347
Feb,Zurich,116,5462
Feb,Geneva,150,7032
Feb,Basel,86,4050
Feb,Bern,109,5120
Feb,Zurich,134,6306
Feb,Geneva,162,7629
Feb,Basel,109,5132
Feb,Bern,135,6364
Feb,Zurich,80,3782
Feb,Geneva,142,6669
Feb,Basel,140,6558
Feb,Bern,150,7042
Feb,Zurich,195,9156
Mar,Zurich,167,7857
Mar,Geneva,185,8678
Mar,Basel,180,8457
Mar,Bern,113,5303
Mar,Zurich,183,8582
Mar,Geneva,136,6374
Mar,Basel,192,9025
Mar,Bern,102,4813
Mar,Zurich,184,8639
Mar,Geneva,120,5627
Mar,Basel,88,4154
Mar,Bern,143,6703
Mar,Zurich,89,4197
Mar,Geneva,104,4892
Mar,Basel,194,9130
Mar,Bern,114,5362
Mar,Zurich,124,5820
Mar,Geneva,157,7383
Mar,Basel,171,8026
Mar,Bern,154,7222
Mar,Zurich,124,5806
Apr,Zurich,175,8226
Apr,Geneva,153,7175
Apr,Basel,154,7239
Apr,Bern,94,4432
Apr,Zurich,115,5386
Apr,Geneva,93,4385
Apr,Basel,186,8719
Apr,Bern,194,9120
Apr,Zurich,111,5227
Apr,Geneva,176,8265
Apr,Basel,109,5134
Apr,Bern,132,6193
Apr,Zurich,92,4342
Apr,Geneva,87,4100
Apr,Basel,101,4739
Apr,Bern,124,5842
Apr,Zurich,145,6831
Apr,Geneva,196,9216
Apr,Basel,132,6202
Apr,Bern,127,5969
Apr,Zurich,254,11958
May,Zurich,136,6369
May,Geneva,169,7952
May,Basel,143,6719
May,Bern,95,4453
May,Zurich,185,8687
May,Geneva,145,6814
May,Basel,194,9105
May,Bern,113,5308
May,Zurich,176,8254
May,Geneva,157,7377
May,Basel,186,8726
May,Bern,169,7947
May,Zurich,152,7126
May,Geneva,143,6729
May,Basel,121,5674
May,Bern,93,4388
May,Zurich,132,6221
May,Geneva,158,7437
May,Basel,127,5990
May,Bern,213,10017
May,Zurich,213,10007
Jun,Zurich,189,8862
Jun,Geneva,161,7577
Jun,Basel,102,4778
Jun,Bern,204,9591
Jun,Zurich,160,7516
Jun,Geneva,161,7575
Jun,Basel,105,4924
Jun,Bern,101,4763
Jun,Zurich,189,8904
Jun,Geneva,170,7993
Jun,Basel,146,6842
Jun,Bern,183,8617
Jun,Zurich,167,7846
Jun,Geneva,194,9104
Jun,Basel,130,6120
Jun,Bern,105,4944
Jun,Zurich,145,6797
Jun,Geneva,98,4604
Jun,Basel,198,9315
Jun,Bern,131,6152
Jun,Zurich,106,4976
Jul,Zurich,165,7732
Jul,Geneva,142,6671
Jul,Basel,92,4337
Jul,Bern,95,4459
Jul,Zurich,145,6832
Jul,Geneva,135,6354
Jul,Basel,192,9018
Jul,Bern,88,4134
Jul,Zurich,192,9008
Jul,Geneva,190,8938
Jul,Basel,153,7210
Jul,Bern,155,7271
Jul,Zurich,144,6754
Jul,Geneva,137,6420
Jul,Basel,143,6714
Jul,Bern,111,5206
Jul,Zurich,109,5141
Jul,Geneva,95,4473
Jul,Basel,122,5736
Jul,Bern,196,9231
Jul,Zurich,161,7561
Aug,Zurich,162,7626
Aug,Geneva,115,5405
Aug,Basel,170,7999
Aug,Bern,122,5719
Aug,Zurich,171,8028
Aug,Geneva,192,9007
Aug,Basel,118,5548
Aug,Bern,95,4485
Aug,Zurich,152,7140
Aug,Geneva,178,8359
Aug,Basel,163,7666
Aug,Bern,116,5461
Aug,Zurich,177,8339
Aug,Geneva,198,9306
Aug,Basel,108,5068
Aug,Bern,92,4307
Aug,Zurich,116,5471
Aug,Geneva,109,5126
Aug,Basel,141,6618
Aug,Bern,116,5460
